model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
word_cantillation_log_count,1110,0.05347548917935866,0.0,0.13112173221463494,0.012357153929769993,0.050298575311899185,3416,0.8174850876911669,48,0.061626442086165155,0.979536455076084,26,0.1280816291375318,2.300750557847008,27,0.03096140453431826,0.36987629349706536,495,0.05531183613633994,0.8539940135522709,514,0.048354639302454254,0.7156760434955759
word_cantillation_count,1110,0.053823123932456085,0.0,0.13190551689183552,0.012484649196267128,0.05103594437241554,3416,0.8099874557926672,48,0.06400645451262628,1.0095199755763942,26,0.1280816291375318,2.265011089003063,27,0.030961404534318265,0.36203416171206687,495,0.0555291997955605,0.8434163632829444,514,0.048673781263843044,0.7090910634179586
word_consonantal_binary,1110,0.13350942513122316,0.0,0.1726801301894675,0.05477852001786232,0.09942390024662018,3416,0.7918710181160613,48,0.1375304667706965,0.8323144289005827,26,0.16900078376562086,1.1488411082690495,27,0.20341892376188964,1.4950168256860372,495,0.1448795852229999,0.90623144919524,514,0.11671648538093804,0.6229685740494901
word_consonantal_log_count,1110,0.13750485594408157,0.0,0.17759519602314228,0.05709279701113701,0.10408732295036316,3416,0.7725442124329706,48,0.1430019733035874,0.8253567663894911,26,0.1714914115049253,1.0990638557237402,27,0.21889213054933518,1.5544576318420307,495,0.14746936453396192,0.8682764140828505,514,0.1214009644184574,0.6178290072652504
word_consonantal_count,1110,0.1392835650125123,0.0,0.18079464842578125,0.05815109610557556,0.10717587918043137,3416,0.757003063817649,48,0.14605123004153345,0.8201484756470006,26,0.17320007690092493,1.0734596410603134,27,0.22542627801775497,1.5607539979268137,495,0.14852760717150076,0.8432542075421252,514,0.12350860129591193,0.6098154331937556
lexeme_binary,1110,0.14866418327594239,0.1414213562373095,0.17778123711078955,0.06647378206253052,0.10929711908102036,3416,0.7519905547783499,48,0.16344599410568544,0.8872348407579786,26,0.1694206671478241,0.9418993469441822,27,0.21355002942097948,1.345655298100067,495,0.15937803059180164,0.8500155293242685,514,0.1325076311985826,0.6041682497331167
homograph_binary,1110,0.15059290101519726,0.14907119849998596,0.1789532186669275,0.06803170591592789,0.11064144968986511,3416,0.7462049289004578,48,0.1639958524858942,0.8673435393241847,26,0.1694206671478241,0.9163741212366234,27,0.22249175436495225,1.3960414372912278,495,0.16074813151677234,0.8379899744691919,514,0.13483225562849532,0.6037569997484085
lexeme_log_count,1110,0.15287079102949783,0.14058942779833816,0.18278992355155138,0.06904098391532898,0.11408864706754684,3416,0.7347778176783614,48,0.16406475221824338,0.8328941638395889,26,0.1713470873040557,0.8967246612027558,27,0.23021565124557788,1.412714336377611,495,0.1621155264514724,0.8158089777420018,514,0.1379249756600234,0.6037760418344803
homograph_log_count,1110,0.154941890187434,0.14365600344152069,0.18429970732084366,0.07046882063150406,0.11520412564277649,3416,0.7332469135511951,48,0.16382444838053858,0.8103496921500059,26,0.1713470873040557,0.8756480387286972,27,0.23813256045890582,1.4553622875216412,495,0.1638672114845969,0.8107208863569817,514,0.1403172208144252,0.6063012048674904
homograph_count,1110,0.15662115784098615,0.1414213562373095,0.18756567621935377,0.0714481770992279,0.11821775883436203,3416,0.7204753463571942,48,0.16340307367760767,0.7778433416862535,26,0.17278449082771571,0.857200430186405,27,0.2434612712781741,1.4550529114661885,495,0.16508943786565314,0.7921082389798003,514,0.14245333625961057,0.6006302256150011
lexeme_count,1110,0.15454937792723916,0.12909944487358058,0.1859488186228001,0.07012274861335754,0.11723718047142029,3416,0.720135275979815,48,0.16418069085628342,0.8022876519608473,26,0.17278449082771571,0.8756756329480708,27,0.23666677428547636,1.4205734477955856,495,0.16319047473057097,0.7938413883972686,514,0.14009231844216494,0.5968206463807303
word_cantillation_icf_spacing2_psalm,1110,1.0,1.0,1.4184950907348002e-16,0.945311963558197,0.08284686505794525,3416,0.6601099076416802,48,1.0,0.6601099076416802,26,1.0,0.6601099076416802,27,1.0,0.6601099076416802,495,1.0,0.6601099076416802,514,1.0,0.6601099076416802
word_vocalized_icf_spacing2_psalm,1110,1.0,1.0,1.3457851163590973e-16,0.9612073302268982,0.06110014766454697,3416,0.634903044524245,48,1.0,0.634903044524245,26,1.0,0.634903044524245,27,1.0,0.634903044524245,495,1.0,0.634903044524245,514,1.0,0.634903044524245
lexeme_icf_spacing2_psalm,1110,1.0,1.0,1.295760199350326e-16,0.978583574295044,0.036166928708553314,3416,0.5921549456836009,48,1.0,0.5921549456836009,26,1.0,0.5921549456836009,27,1.0,0.5921549456836009,495,1.0,0.5921549456836009,514,1.0,0.5921549456836009
word_consonantal_icf_spacing2_psalm,1110,1.0,1.0,1.0548303115900828e-16,0.9791926741600037,0.03538638725876808,3416,0.588003677454829,48,1.0,0.588003677454829,26,1.0,0.588003677454829,27,1.0,0.588003677454829,495,1.0,0.588003677454829,514,1.0,0.588003677454829
word_consonantal_icf_spacing8,957,0.6735889745316361,0.7397246920683493,0.26345563949489126,0.5292314291000366,0.25132182240486145,3237,0.5743931985303283,40,0.7098074512251544,0.7185051437126012,16,0.6254029379553675,0.3826627864428162,24,0.7323985060041766,0.8083940939153796,433,0.6902418495764676,0.6406543567754922,444,0.6526432850445335,0.49105109442382294
