model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
word_vocalized_log_count,1110,0.07784864552448546,0.0,0.15160844648973765,0.020868947729468346,0.06585367023944855,3416,0.865247109050034,48,0.07286278923026164,0.7895359713701613,26,0.13401637336684305,1.7181643061952774,27,0.12425849760111711,1.569989182010921,495,0.08265141039674709,0.9381779700756752,514,0.06840997929954944,0.7219192399940441
word_vocalized_count,1110,0.07833844535145167,0.0,0.15266480717701914,0.021007396280765533,0.06657283008098602,3416,0.8611778859475068,48,0.07524280165672277,0.8146777793580313,26,0.13401637336684302,1.6975240041410553,27,0.12552569823274243,1.5699843588567604,495,0.08288603034356079,0.9294878103802968,514,0.06895294801693404,0.7201969884387162
word_cantillation_binary,1110,0.0527389221345528,0.0,0.1300151674031412,0.0120961843058466,0.049153596162796,3416,0.8268517667374318,48,0.0577564545126262,0.9289304093957524,26,0.1280816291375318,2.359653288592414,27,0.0309614045343182,0.3838014245385063,495,0.0547909059678103,0.8685981290272097,514,0.0476270720207763,0.7228542871461905
word_cantillation_log_count,1110,0.05347548917935866,0.0,0.13112173221463494,0.012357153929769993,0.050298575311899185,3416,0.8174850876911669,48,0.061626442086165155,0.979536455076084,26,0.1280816291375318,2.300750557847008,27,0.03096140453431826,0.36987629349706536,495,0.05531183613633994,0.8539940135522709,514,0.048354639302454254,0.7156760434955759
word_cantillation_count,1110,0.053823123932456085,0.0,0.13190551689183552,0.012484649196267128,0.05103594437241554,3416,0.8099874557926672,48,0.06400645451262628,1.0095199755763942,26,0.1280816291375318,2.265011089003063,27,0.030961404534318265,0.36203416171206687,495,0.0555291997955605,0.8434163632829444,514,0.048673781263843044,0.7090910634179586
word_consonantal_binary,1110,0.1335094251312231,0.0,0.1726801301894675,0.0547785200178623,0.0994239002466201,3416,0.7918710181160613,48,0.1375304667706965,0.8323144289005827,26,0.1690007837656208,1.1488411082690495,27,0.2034189237618896,1.4950168256860372,495,0.1448795852229999,0.90623144919524,514,0.116716485380938,0.6229685740494901
word_consonantal_log_count,1110,0.13750485594408157,0.0,0.17759519602314228,0.05709279701113701,0.10408732295036316,3416,0.7725442124329706,48,0.1430019733035874,0.8253567663894911,26,0.1714914115049253,1.0990638557237402,27,0.21889213054933518,1.5544576318420307,495,0.14746936453396192,0.8682764140828505,514,0.1214009644184574,0.6178290072652504
word_consonantal_count,1110,0.1392835650125123,0.0,0.18079464842578125,0.05815109610557556,0.10717587918043137,3416,0.757003063817649,48,0.14605123004153345,0.8201484756470006,26,0.17320007690092493,1.0734596410603134,27,0.22542627801775497,1.5607539979268137,495,0.14852760717150076,0.8432542075421252,514,0.12350860129591193,0.6098154331937556
lexeme_binary,1110,0.1486641832759423,0.1414213562373095,0.1777812371107895,0.0664737820625305,0.1092971190810203,3416,0.7519905547783499,48,0.1634459941056854,0.8872348407579786,26,0.1694206671478241,0.9418993469441822,27,0.2135500294209794,1.345655298100067,495,0.1593780305918016,0.8500155293242685,514,0.1325076311985826,0.6041682497331167
homograph_binary,1110,0.1505929010151972,0.1490711984999859,0.1789532186669275,0.0680317059159278,0.1106414496898651,3416,0.7462049289004578,48,0.1639958524858942,0.8673435393241847,26,0.1694206671478241,0.9163741212366234,27,0.2224917543649522,1.3960414372912278,495,0.1607481315167723,0.8379899744691919,514,0.1348322556284953,0.6037569997484085
